"Job","Salary","Requirements(The dash(-) means or)"
"Aerospace engineering and operations technicians","$71,070","Post-Secondary Certificate: Aeronautical/Aerospace Engineering Technology/Technician -"
"Aerospace engineers","$112,010","Bachelor's Degree: Aerospace, Aeronautical and Astronautical/Space Engineering - Electrical and Electronics Engineering - Mechanical Engineering -"
"Agricultural engineers","$77,330","Bachelor's Degree: Agricultural Engineering -"
"Architects except landscape and naval","$84,470","Bachelor's Degree: Architectural History and Criticism, General - Architecture - Environmental Design/Architecture -"
"Architectural and civil drafters","$54,290","any: Architectural and Building Sciences/Technology - Architectural Drafting and Architectural CAD/CADD - Architectural Sciences and Technology, Other - Architectural Technology/Technician - CAD/CADD Drafting and/or Design Technology/Technician - Civil Drafting and Civil Engineering CAD/CADD - Drafting and Design Technology/Technician, General -"
"Architectural drafters","$54,290","any: Architectural and Building Sciences/Technology - Architectural Drafting and Architectural CAD/CADD - Architectural Sciences and Technology, Other - Architectural Technology/Technician - CAD/CADD Drafting and/or Design Technology/Technician - Civil Drafting and Civil Engineering CAD/CADD - Drafting and Design Technology/Technician, General -"
"Automotive engineering technicians","$57,180","Associate's Degree: Mechanical Engineering Related Technologies/Technicians, Other - Mechanical Engineering/Mechanical Technology/Technician -"
"Automotive engineers","$89,800","Bachelor's Degree: Electromechanical Engineering - Mechanical Engineering -"
"Cartographers and photogrammetrists","$66,160","Post-Secondary Certificate: Geographic Information Science and Cartography - Surveying Technology/Surveying -"
"Chemical engineers","$105,420","Bachelor's Degree: Biochemical Engineering - Chemical and Biomolecular Engineering - Chemical Engineering, Other - Chemical Engineering - Engineering Chemistry - Paper Science and Engineering -"
"Civil engineering technicians","$52,120","Post-Secondary Certificate: Building Construction Technology - Civil Engineering Technology/Technician - Construction Engineering Technology/Technician -"
"Civil engineers","$89,730","Bachelor's Degree: Civil Engineering, General - Civil Engineering, Other - Construction Engineering - Geotechnical and Geoenvironmental Engineering - Structural Engineering - Transportation and Highway Engineering - Water Resources Engineering -"
"Computer hardware engineers","$118,700","Bachelor's Degree: Computer Engineering, General - Computer Hardware Engineering -"
"Drafters all other","$54,410","any: CAD/CADD Drafting and/or Design Technology/Technician - Drafting and Design Technology/Technician, General - Drafting/Design Engineering Technologies/Technicians, Other -"
"Electrical and electronic engineering technicians","$62,950","any: Computer Engineering Technology/Technician - Computer Technology/Computer Systems Technology - Electrical and Electronic Engineering Technologies/Technicians, Other - Electrical, Electronic and Communications Engineering Technology/Technician - Integrated Circuit Design - Semiconductor Manufacturing Technology - Telecommunications Technology/Technician -"
"Electrical and electronics drafters","$63,390","any: CAD/CADD Drafting and/or Design Technology/Technician - Drafting and Design Technology/Technician, General - Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD -"
"Electrical drafters","$63,390","any: CAD/CADD Drafting and/or Design Technology/Technician - Drafting and Design Technology/Technician, General - Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD -"
"Electrical engineering technicians","$62,950","any: Computer Engineering Technology/Technician - Computer Technology/Computer Systems Technology - Electrical and Electronic Engineering Technologies/Technicians, Other - Electrical, Electronic and Communications Engineering Technology/Technician - Integrated Circuit Design - Semiconductor Manufacturing Technology - Telecommunications Technology/Technician -"
"Electrical engineers","$103,760","Bachelor's Degree: Electrical and Electronics Engineering - Electrical, Electronics and Communications Engineering, Other - Telecommunications Engineering -"
"Electro mechanical technicians","$57,860","Associate's Degree: Automation Engineer Technology/Technician - Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other - Electromechanical Technology/Electromechanical Engineering Technology - Instrumentation Technology/Technician - Robotics Technology/Technician -"
"Electronics engineers except computer","$103,760","Bachelor's Degree: Electrical and Electronics Engineering - Electrical, Electronics and Communications Engineering, Other - Telecommunications Engineering -"
